timestep;MFH_A_0;MFH_A_1;MFH_A_2;MFH_B_0;MFH_B_1;MFH_B_2;MFH_C_0;MFH_C_1;MFH_C_2;MFH_D_0;MFH_D_1;MFH_D_2;MFH_E_0;MFH_E_1;MFH_E_2;MFH_F_0;MFH_F_1;MFH_F_2;MFH_G_0;MFH_G_1;MFH_G_2;MFH_H_0;MFH_H_1;MFH_H_2;MFH_I_0;MFH_I_1;MFH_I_2;MFH_J_0;MFH_J_1;MFH_J_2
8374.5;1191.084;1046.163;1469.981;4560.602;2322.883;3124.216;2866.044;6457.96;1779.519;4342.777;3321.219;1817.505;3315.685;2627.636;2185.928;3027.701;2114.857;4434.737;4893.998;2486.617;2536.283;4884.841;1904.827;4187.807;1871.98;4752.448;3709.084;3346.201;5699.22;1537.943
8374.75;1453.746;848.059;2764.524;4814.891;5048.248;2055.069;3227.055;2287.563;3077.941;3373.847;1988.136;749.129;1752.41;2608.78;776.169;980.042;2193.783;5273.996;2481.177;1984.438;4508.714;1285.342;1804.605;3720.128;4228.37;2199.358;544.041;6607.153;3006.577;1218.627
8375.0;1273.309;3534.421;3061.745;3964.693;1717.154;1912.02;2822.31;1983.672;1722.802;2863.3;2276.255;599.706;1696.01;2471.652;2583.84;2822.134;1378.175;2105.914;3209.121;658.03;4327.129;2709.505;1802.815;1238.678;761.2;1088.654;491.169;883.35;2851.914;4121.256
8375.25;1128.484;2109.834;869.905;2614.62;1787.918;2034.11;2736.314;774.325;1924.283;1063.953;4554.254;328.231;1486.376;560.581;514.945;2329.923;1365.523;966.304;2185.286;503.31;4019.124;2846.393;2669.764;2037.826;797.031;1181.048;715.921;514.669;5680.448;4371.352
8375.5;1241.87;2200.564;1121.23;4998.829;1183.818;626.657;1082.571;4279.251;3476.888;938.739;1641.156;679.273;653.987;609.831;745.936;895.223;1499.642;733.551;2070.126;509.548;3141.991;4955.891;952.499;2774.72;821.59;4982.054;998.216;610.347;5411.527;1245.271
8375.75;3083.474;2069.568;592.67;2625.529;957.544;902.299;912.795;1129.777;1859.088;717.879;402.793;798.653;1621.043;630.476;562.546;779.332;1192.765;1458.772;673.337;509.548;1550.185;4192.323;784.471;1683.656;732.333;866.213;730.887;992.323;906.869;708.425
8376.0;301.418;318.879;311.511;289.973;347.096;329.759;332.368;297.903;308.886;329.285;244.08;268.893;249.939;345.288;280.484;348.249;347.487;279.489;299.581;291.956;283.161;299.789;356.981;307.066;298.298;361.491;318.059;341.206;239.346;393.8
8376.25;2198.788;451.149;311.511;349.907;524.486;426.01;2091.426;1210.398;434.334;329.285;244.08;268.893;249.939;641.81;280.484;348.249;356.658;431.561;1787.229;291.956;283.161;338.284;559.385;1273.895;1410.565;361.491;350.524;371.841;1597.016;426.539
8376.5;2098.032;439.647;458.044;602.788;3073.635;2976.842;576.074;297.903;380.564;329.285;244.08;268.893;388.601;345.288;280.484;348.249;644.563;643.422;379.988;291.956;477.09;428.155;2600.054;1302.286;1493.285;352.827;356.629;341.206;2670.136;562.635
8376.75;592.744;537.355;458.044;538.842;637.706;338.053;673.847;297.903;380.564;329.285;368.845;330.804;289.243;345.288;280.484;348.249;491.385;742.55;332.906;558.694;536.256;476.565;715.277;388.528;424.696;486.683;627.003;341.206;1677.997;803.157
