timestep;MFH_A_0;MFH_A_1;MFH_A_2;MFH_B_0;MFH_B_1;MFH_B_2;MFH_C_0;MFH_C_1;MFH_C_2;MFH_D_0;MFH_D_1;MFH_D_2;MFH_E_0;MFH_E_1;MFH_E_2;MFH_F_0;MFH_F_1;MFH_F_2;MFH_G_0;MFH_G_1;MFH_G_2;MFH_H_0;MFH_H_1;MFH_H_2;MFH_I_0;MFH_I_1;MFH_I_2;MFH_J_0;MFH_J_1;MFH_J_2
13.0;4531.8;4531.8;4531.8;3558.16;3558.16;3558.16;5318.18;5318.18;5318.18;6065.91;6065.91;6065.91;3351.47;3351.47;3351.47;4989.68;4989.68;4989.68;4099.95;4099.95;4099.95;3461.84;3461.84;3461.84;3669.07;3669.07;3669.07;2899.42;2899.42;2899.42
13.25;4120.07;4120.07;4120.07;3234.89;3234.89;3234.89;4835.01;4835.01;4835.01;5514.8;5514.8;5514.8;3046.98;3046.98;3046.98;4536.35;4536.35;4536.35;3727.46;3727.46;3727.46;3147.32;3147.32;3147.32;3335.72;3335.72;3335.72;2636.0;2636.0;2636.0
13.5;3546.47;3546.47;3546.47;2784.52;2784.52;2784.52;4161.87;4161.87;4161.87;4747.02;4747.02;4747.02;2622.77;2622.77;2622.77;3904.79;3904.79;3904.79;3208.51;3208.51;3208.51;2709.14;2709.14;2709.14;2871.32;2871.32;2871.32;2269.01;2269.01;2269.01
13.75;3136.42;3136.42;3136.42;2462.57;2462.57;2462.57;3680.67;3680.67;3680.67;4198.16;4198.16;4198.16;2319.52;2319.52;2319.52;3453.31;3453.31;3453.31;2837.54;2837.54;2837.54;2395.91;2395.91;2395.91;2539.33;2539.33;2539.33;2006.67;2006.67;2006.67
14.0;2720.87;2720.87;2720.87;2136.3;2136.3;2136.3;3193.01;3193.01;3193.01;3641.94;3641.94;3641.94;2012.21;2012.21;2012.21;2995.78;2995.78;2995.78;2461.59;2461.59;2461.59;2078.47;2078.47;2078.47;2202.89;2202.89;2202.89;1740.8;1740.8;1740.8
14.25;2366.7;2366.7;2366.7;1858.22;1858.22;1858.22;2777.38;2777.38;2777.38;3167.87;3167.87;3167.87;1750.28;1750.28;1750.28;2605.82;2605.82;2605.82;2141.17;2141.17;2141.17;1807.92;1807.92;1807.92;1916.14;1916.14;1916.14;1514.2;1514.2;1514.2
14.5;2010.42;2010.42;2010.42;1578.49;1578.49;1578.49;2359.28;2359.28;2359.28;2690.99;2690.99;2690.99;1486.8;1486.8;1486.8;2213.55;2213.55;2213.55;1818.84;1818.84;1818.84;1535.76;1535.76;1535.76;1627.69;1627.69;1627.69;1286.26;1286.26;1286.26
14.75;1569.44;1569.44;1569.44;1232.25;1232.25;1232.25;1841.78;1841.78;1841.78;2100.73;2100.73;2100.73;1160.67;1160.67;1160.67;1728.01;1728.01;1728.01;1419.88;1419.88;1419.88;1198.89;1198.89;1198.89;1270.66;1270.66;1270.66;1004.12;1004.12;1004.12
15.0;1209.39;1209.39;1209.39;949.56;949.56;949.56;1419.25;1419.25;1419.25;1618.79;1618.79;1618.79;894.4;894.4;894.4;1331.58;1331.58;1331.58;1094.14;1094.14;1094.14;923.85;923.85;923.85;979.15;979.15;979.15;773.76;773.76;773.76
15.25;1018.4;1018.4;1018.4;799.6;799.6;799.6;1195.12;1195.12;1195.12;1363.15;1363.15;1363.15;753.15;753.15;753.15;1121.3;1121.3;1121.3;921.35;921.35;921.35;777.95;777.95;777.95;824.52;824.52;824.52;651.57;651.57;651.57
15.5;827.86;827.86;827.86;649.99;649.99;649.99;971.51;971.51;971.51;1108.1;1108.1;1108.1;612.24;612.24;612.24;911.5;911.5;911.5;748.97;748.97;748.97;632.4;632.4;632.4;670.25;670.25;670.25;529.66;529.66;529.66
15.75;635.14;635.14;635.14;498.69;498.69;498.69;745.36;745.36;745.36;850.15;850.15;850.15;469.72;469.72;469.72;699.32;699.32;699.32;574.62;574.62;574.62;485.19;485.19;485.19;514.23;514.23;514.23;406.36;406.36;406.36
16.0;441.95;441.95;441.95;347.0;347.0;347.0;518.64;518.64;518.64;591.56;591.56;591.56;326.84;326.84;326.84;486.6;486.6;486.6;399.84;399.84;399.84;337.61;337.61;337.61;357.81;357.81;357.81;282.76;282.76;282.76
16.25;341.02;341.02;341.02;267.75;267.75;267.75;400.19;400.19;400.19;456.46;456.46;456.46;252.2;252.2;252.2;375.47;375.47;375.47;308.52;308.52;308.52;260.5;260.5;260.5;276.1;276.1;276.1;218.18;218.18;218.18
16.5;225.86;225.86;225.86;177.34;177.34;177.34;265.05;265.05;265.05;302.32;302.32;302.32;167.03;167.03;167.03;248.68;248.68;248.68;204.34;204.34;204.34;172.54;172.54;172.54;182.86;182.86;182.86;144.51;144.51;144.51
16.75;109.79;109.79;109.79;86.2;86.2;86.2;128.84;128.84;128.84;146.95;146.95;146.95;81.19;81.19;81.19;120.88;120.88;120.88;99.33;99.33;99.33;83.87;83.87;83.87;88.89;88.89;88.89;70.24;70.24;70.24
